title,sentiment
What Donald Trump's second presidential term means for Apple (AAPL),0.1513
Apple (AAPL) Q4 earnings report 2024,0.4019
Nvidia Overtakes Apple As World's Most Valuable Company,0.8122
Young Investors: 2 Growth Stocks to Stash Away in Your TFSA Forever!,0.6494
"Cramer Says 'Hot Money' Flowing From Nvidia, Apple Into China, Focus On Alibaba 'If You Must'",-0.1779
Strong iPhone 16 Demand Justifies Buy Rating for Apple,0.5106
Apple Stock: Risk From Trifold Smartphone Market (NASDAQ:AAPL),-0.5267
Apple Upstaged By Huawei. No Showtime For Glowtime (NASDAQ:AAPL),-0.0096
Apple hurts hearing aid stocks on AirPods upgrade (NASDAQ:AAPL),-0.296
Apple event seen largely 'as expected' by Wall Street,0.296
