title,sentiment
"TSLA, NVDA, HOOD, LBRT and more",0.0
Tesla (TSLA) stock up on report Trump wants to ease self-driving rules,-0.4019
"ABBV, TSLA, CI, MS",0.6705
"SMCI, TSLA, COIN, PLNT",0.0
Tesla: Set To Have Its iPhone Moment,0.34
Elon Musk Is Making Tesla Great Again (Technical Analysis),0.7096
Why the Tesla share price leapt 22% last night,0.5267
Tesla: Profitability Increases Should Drive Stock Higher,0.3182
"Tesla: Sell The Rally, Autonomous Robots Do Not Justify Sky-High Valuation",0.8316
Tesla Q3: Elon Musk Teaches The Market A Lesson,0.9022
